matchNumber,roundNumber,dateUtc,location,homeTeam,awayTeam,group,homeTeamScore,awayTeamScore
50,5,2018-09-16 12:30:00Z,Molineux Stadium,Wolves,Burnley,,1,0
43,5,2018-09-16 15:00:00Z,Goodison Park,Everton,West Ham,,1,3
47,5,2018-09-17 19:00:00Z,St. Mary's Stadium,Southampton,Brighton,,2,2
56,6,2018-09-22 11:30:00Z,Craven Cottage,Fulham,Watford,,1,1
53,6,2018-09-22 14:00:00Z,Turf Moor,Burnley,Bournemouth,,4,0
54,6,2018-09-22 14:00:00Z,Cardiff City Stadium,Cardiff,Man City,,0,5
55,6,2018-09-22 14:00:00Z,Selhurst Park,Crystal Palace,Newcastle,,0,0
57,6,2018-09-22 14:00:00Z,King Power Stadium,Leicester,Huddersfield,,3,1
58,6,2018-09-22 14:00:00Z,Anfield,Liverpool,Southampton,,3,0
59,6,2018-09-22 14:00:00Z,Old Trafford,Man Utd,Wolves,,1,1
52,6,2018-09-22 16:30:00Z,Amex Stadium,Brighton,Spurs,,1,2
60,6,2018-09-23 12:30:00Z,London Stadium,West Ham,Chelsea,,0,0
51,6,2018-09-23 15:00:00Z,Emirates Stadium,Arsenal,Everton,,2,0
69,7,2018-09-29 11:30:00Z,London Stadium,West Ham,Man Utd,,3,1
61,7,2018-09-29 14:00:00Z,Emirates Stadium,Arsenal,Watford,,2,0
65,7,2018-09-29 14:00:00Z,Goodison Park,Everton,Fulham,,3,0
66,7,2018-09-29 14:00:00Z,John Smith's Stadium,Huddersfield,Spurs,,0,2
67,7,2018-09-29 14:00:00Z,Etihad Stadium,Man City,Brighton,,2,0
68,7,2018-09-29 14:00:00Z,St. James' Park,Newcastle,Leicester,,0,2
70,7,2018-09-29 14:00:00Z,Molineux Stadium,Wolves,Southampton,,2,0
64,7,2018-09-29 16:30:00Z,Stamford Bridge,Chelsea,Liverpool,,1,1
63,7,2018-09-30 15:00:00Z,Cardiff City Stadium,Cardiff,Burnley,,1,2
62,7,2018-10-01 19:00:00Z,Vitality Stadium,Bournemouth,Crystal Palace,,2,1
71,8,2018-10-05 19:00:00Z,Amex Stadium,Brighton,West Ham,,1,0
72,8,2018-10-06 14:00:00Z,Turf Moor,Burnley,Huddersfield,,1,1
73,8,2018-10-06 14:00:00Z,Selhurst Park,Crystal Palace,Wolves,,0,1
75,8,2018-10-06 14:00:00Z,King Power Stadium,Leicester,Everton,,1,2
79,8,2018-10-06 14:00:00Z,Wembley Stadium,Spurs,Cardiff,,1,0
80,8,2018-10-06 14:00:00Z,Vicarage Road,Watford,Bournemouth,,0,4
77,8,2018-10-06 16:30:00Z,Old Trafford,Man Utd,Newcastle,,3,2
74,8,2018-10-07 11:00:00Z,Craven Cottage,Fulham,Arsenal,,1,5
78,8,2018-10-07 13:15:00Z,St. Mary's Stadium,Southampton,Chelsea,,0,3
76,8,2018-10-07 15:30:00Z,Anfield,Liverpool,Man City,,0,0
84,9,2018-10-20 11:30:00Z,Stamford Bridge,Chelsea,Man Utd,,2,2
82,9,2018-10-20 14:00:00Z,Vitality Stadium,Bournemouth,Southampton,,0,0
83,9,2018-10-20 14:00:00Z,Cardiff City Stadium,Cardiff,Fulham,,4,2
87,9,2018-10-20 14:00:00Z,Etihad Stadium,Man City,Burnley,,5,0
88,9,2018-10-20 14:00:00Z,St. James' Park,Newcastle,Brighton,,0,1
89,9,2018-10-20 14:00:00Z,London Stadium,West Ham,Spurs,,0,1
90,9,2018-10-20 14:00:00Z,Molineux Stadium,Wolves,Watford,,0,2
86,9,2018-10-20 16:30:00Z,John Smith's Stadium,Huddersfield,Liverpool,,0,1
85,9,2018-10-21 15:00:00Z,Goodison Park,Everton,Crystal Palace,,2,0
81,9,2018-10-22 19:00:00Z,Emirates Stadium,Arsenal,Leicester,,3,1
91,10,2018-10-27 14:00:00Z,Amex Stadium,Brighton,Wolves,,1,0
94,10,2018-10-27 14:00:00Z,Craven Cottage,Fulham,Bournemouth,,0,3
96,10,2018-10-27 14:00:00Z,Anfield,Liverpool,Cardiff,,4,1
98,10,2018-10-27 14:00:00Z,St. Mary's Stadium,Southampton,Newcastle,,0,0
100,10,2018-10-27 14:00:00Z,Vicarage Road,Watford,Huddersfield,,3,0
95,10,2018-10-27 16:30:00Z,King Power Stadium,Leicester,West Ham,,1,1
92,10,2018-10-28 13:30:00Z,Turf Moor,Burnley,Chelsea,,0,4
93,10,2018-10-28 13:30:00Z,Selhurst Park,Crystal Palace,Arsenal,,2,2
97,10,2018-10-28 16:00:00Z,Old Trafford,Man Utd,Everton,,2,1
99,10,2018-10-29 20:00:00Z,Wembley Stadium,Spurs,Man City,,0,1
102,11,2018-11-03 12:30:00Z,Vitality Stadium,Bournemouth,Man Utd,,1,2
103,11,2018-11-03 15:00:00Z,Cardiff City Stadium,Cardiff,Leicester,,0,1
105,11,2018-11-03 15:00:00Z,Goodison Park,Everton,Brighton,,3,1
108,11,2018-11-03 15:00:00Z,St. James' Park,Newcastle,Watford,,1,0
109,11,2018-11-03 15:00:00Z,London Stadium,West Ham,Burnley,,4,2
101,11,2018-11-03 17:30:00Z,Emirates Stadium,Arsenal,Liverpool,,1,1
110,11,2018-11-03 19:45:00Z,Molineux Stadium,Wolves,Spurs,,2,3
107,11,2018-11-04 15:00:00Z,Etihad Stadium,Man City,Southampton,,6,1
104,11,2018-11-04 16:00:00Z,Stamford Bridge,Chelsea,Crystal Palace,,3,1
106,11,2018-11-05 20:00:00Z,John Smith's Stadium,Huddersfield,Fulham,,1,0
112,12,2018-11-10 12:30:00Z,Cardiff City Stadium,Cardiff,Brighton,,2,1
115,12,2018-11-10 15:00:00Z,John Smith's Stadium,Huddersfield,West Ham,,1,1
116,12,2018-11-10 15:00:00Z,King Power Stadium,Leicester,Burnley,,0,0
119,12,2018-11-10 15:00:00Z,St. James' Park,Newcastle,Bournemouth,,2,1
120,12,2018-11-10 15:00:00Z,St. Mary's Stadium,Southampton,Watford,,1,1
114,12,2018-11-10 17:30:00Z,Selhurst Park,Crystal Palace,Spurs,,0,1
117,12,2018-11-11 12:00:00Z,Anfield,Liverpool,Fulham,,2,0
113,12,2018-11-11 14:15:00Z,Stamford Bridge,Chelsea,Everton,,0,0
111,12,2018-11-11 16:30:00Z,Emirates Stadium,Arsenal,Wolves,,1,1
118,12,2018-11-11 16:30:00Z,Etihad Stadium,Man City,Man Utd,,3,1
122,13,2018-11-24 15:00:00Z,Amex Stadium,Brighton,Leicester,,1,1
124,13,2018-11-24 15:00:00Z,Goodison Park,Everton,Cardiff,,1,0
125,13,2018-11-24 15:00:00Z,Craven Cottage,Fulham,Southampton,,3,2
126,13,2018-11-24 15:00:00Z,Old Trafford,Man Utd,Crystal Palace,,0,0
128,13,2018-11-24 15:00:00Z,Vicarage Road,Watford,Liverpool,,0,3
129,13,2018-11-24 15:00:00Z,London Stadium,West Ham,Man City,,0,4
127,13,2018-11-24 17:30:00Z,Tottenham Hotspur Stadium,Spurs,Chelsea,,3,1
121,13,2018-11-25 13:30:00Z,Vitality Stadium,Bournemouth,Arsenal,,1,2
130,13,2018-11-25 16:00:00Z,Molineux Stadium,Wolves,Huddersfield,,0,2
123,13,2018-11-26 20:30:00Z,Turf Moor,Burnley,Newcastle,,1,2
132,14,2018-11-30 20:00:00Z,Cardiff City Stadium,Cardiff,Wolves,,2,1
134,14,2018-12-01 15:00:00Z,Selhurst Park,Crystal Palace,Burnley,,2,0
135,14,2018-12-01 15:00:00Z,John Smith's Stadium,Huddersfield,Brighton,,1,2
136,14,2018-12-01 15:00:00Z,King Power Stadium,Leicester,Watford,,2,0
138,14,2018-12-01 15:00:00Z,Etihad Stadium,Man City,Bournemouth,,3,1
139,14,2018-12-01 15:00:00Z,St. James' Park,Newcastle,West Ham,,0,3
140,14,2018-12-01 17:30:00Z,St. Mary's Stadium,Southampton,Man Utd,,2,2
133,14,2018-12-02 12:00:00Z,Stamford Bridge,Chelsea,Fulham,,2,0
131,14,2018-12-02 14:05:00Z,Emirates Stadium,Arsenal,Spurs,,4,2
137,14,2018-12-02 16:15:00Z,Anfield,Liverpool,Everton,,1,0
141,15,2018-12-04 19:45:00Z,Vitality Stadium,Bournemouth,Huddersfield,,2,1
142,15,2018-12-04 19:45:00Z,Amex Stadium,Brighton,Crystal Palace,,3,1
146,15,2018-12-04 19:45:00Z,London Stadium,West Ham,Cardiff,,3,1
145,15,2018-12-04 20:00:00Z,Vicarage Road,Watford,Man City,,1,2
143,15,2018-12-05 19:45:00Z,Turf Moor,Burnley,Liverpool,,1,3
144,15,2018-12-05 19:45:00Z,Craven Cottage,Fulham,Leicester,,1,1
147,15,2018-12-05 19:45:00Z,Molineux Stadium,Wolves,Chelsea,,2,1
149,15,2018-12-05 19:45:00Z,Goodison Park,Everton,Newcastle,,1,1
148,15,2018-12-05 20:00:00Z,Old Trafford,Man Utd,Arsenal,,2,2
150,15,2018-12-05 20:00:00Z,Tottenham Hotspur Stadium,Spurs,Southampton,,3,1
152,16,2018-12-08 12:30:00Z,Vitality Stadium,Bournemouth,Liverpool,,0,4
151,16,2018-12-08 15:00:00Z,Emirates Stadium,Arsenal,Huddersfield,,1,0
153,16,2018-12-08 15:00:00Z,Turf Moor,Burnley,Brighton,,1,0
154,16,2018-12-08 15:00:00Z,Cardiff City Stadium,Cardiff,Southampton,,1,0
158,16,2018-12-08 15:00:00Z,Old Trafford,Man Utd,Fulham,,4,1
160,16,2018-12-08 15:00:00Z,London Stadium,West Ham,Crystal Palace,,3,2
155,16,2018-12-08 17:30:00Z,Stamford Bridge,Chelsea,Man City,,2,0
157,16,2018-12-08 19:45:00Z,King Power Stadium,Leicester,Spurs,,0,2
159,16,2018-12-09 16:00:00Z,St. James' Park,Newcastle,Wolves,,1,2
156,16,2018-12-10 20:00:00Z,Goodison Park,Everton,Watford,,2,2
166,17,2018-12-15 12:30:00Z,Etihad Stadium,Man City,Everton,,3,1
162,17,2018-12-15 15:00:00Z,Selhurst Park,Crystal Palace,Leicester,,1,0
164,17,2018-12-15 15:00:00Z,John Smith's Stadium,Huddersfield,Newcastle,,0,1
168,17,2018-12-15 15:00:00Z,Tottenham Hotspur Stadium,Spurs,Burnley,,1,0
169,17,2018-12-15 15:00:00Z,Vicarage Road,Watford,Cardiff,,3,2
170,17,2018-12-15 15:00:00Z,Molineux Stadium,Wolves,Bournemouth,,2,0
163,17,2018-12-15 17:30:00Z,Craven Cottage,Fulham,West Ham,,0,2
161,17,2018-12-16 13:30:00Z,Amex Stadium,Brighton,Chelsea,,1,2
167,17,2018-12-16 13:30:00Z,St. Mary's Stadium,Southampton,Arsenal,,3,2
165,17,2018-12-16 16:00:00Z,Anfield,Liverpool,Man Utd,,3,1
180,18,2018-12-21 20:00:00Z,Molineux Stadium,Wolves,Liverpool,,0,2
171,18,2018-12-22 12:30:00Z,Emirates Stadium,Arsenal,Burnley,,3,1
172,18,2018-12-22 15:00:00Z,Vitality Stadium,Bournemouth,Brighton,,2,0
174,18,2018-12-22 15:00:00Z,Stamford Bridge,Chelsea,Leicester,,0,1
176,18,2018-12-22 15:00:00Z,John Smith's Stadium,Huddersfield,Southampton,,1,3
177,18,2018-12-22 15:00:00Z,Etihad Stadium,Man City,Crystal Palace,,2,3
178,18,2018-12-22 15:00:00Z,St. James' Park,Newcastle,Fulham,,0,0
179,18,2018-12-22 15:00:00Z,London Stadium,West Ham,Watford,,0,2
173,18,2018-12-22 17:30:00Z,Cardiff City Stadium,Cardiff,Man Utd,,1,5
175,18,2018-12-23 16:00:00Z,Goodison Park,Everton,Spurs,,2,6
184,19,2018-12-26 12:30:00Z,Craven Cottage,Fulham,Wolves,,1,1
182,19,2018-12-26 15:00:00Z,Turf Moor,Burnley,Everton,,1,5
183,19,2018-12-26 15:00:00Z,Selhurst Park,Crystal Palace,Cardiff,,0,0
185,19,2018-12-26 15:00:00Z,King Power Stadium,Leicester,Man City,,2,1
186,19,2018-12-26 15:00:00Z,Anfield,Liverpool,Newcastle,,4,0
187,19,2018-12-26 15:00:00Z,Old Trafford,Man Utd,Huddersfield,,3,1
189,19,2018-12-26 15:00:00Z,Tottenham Hotspur Stadium,Spurs,Bournemouth,,5,0
181,19,2018-12-26 17:15:00Z,Amex Stadium,Brighton,Arsenal,,1,1
190,19,2018-12-26 19:30:00Z,Vicarage Road,Watford,Chelsea,,1,2
188,19,2018-12-27 19:45:00Z,St. Mary's Stadium,Southampton,West Ham,,1,2
191,20,2018-12-29 15:00:00Z,Amex Stadium,Brighton,Everton,,1,0
194,20,2018-12-29 15:00:00Z,Craven Cottage,Fulham,Huddersfield,,1,0
195,20,2018-12-29 15:00:00Z,King Power Stadium,Leicester,Cardiff,,0,1
199,20,2018-12-29 15:00:00Z,Tottenham Hotspur Stadium,Spurs,Wolves,,1,3
200,20,2018-12-29 15:00:00Z,Vicarage Road,Watford,Newcastle,,1,1
196,20,2018-12-29 17:30:00Z,Anfield,Liverpool,Arsenal,,5,1
193,20,2018-12-30 12:00:00Z,Selhurst Park,Crystal Palace,Chelsea,,0,1
192,20,2018-12-30 14:15:00Z,Turf Moor,Burnley,West Ham,,2,0
198,20,2018-12-30 14:15:00Z,St. Mary's Stadium,Southampton,Man City,,1,3
197,20,2018-12-30 16:30:00Z,Old Trafford,Man Utd,Bournemouth,,4,1
205,21,2019-01-01 12:30:00Z,Goodison Park,Everton,Leicester,,0,1
201,21,2019-01-01 15:00:00Z,Emirates Stadium,Arsenal,Fulham,,4,1
203,21,2019-01-01 17:30:00Z,Cardiff City Stadium,Cardiff,Spurs,,0,3
202,21,2019-01-02 19:45:00Z,Vitality Stadium,Bournemouth,Watford,,3,3
204,21,2019-01-02 19:45:00Z,Stamford Bridge,Chelsea,Southampton,,0,0
206,21,2019-01-02 19:45:00Z,John Smith's Stadium,Huddersfield,Burnley,,1,2
209,21,2019-01-02 19:45:00Z,London Stadium,West Ham,Brighton,,2,2
210,21,2019-01-02 19:45:00Z,Molineux Stadium,Wolves,Crystal Palace,,0,2
208,21,2019-01-02 20:00:00Z,St. James' Park,Newcastle,Man Utd,,0,2
207,21,2019-01-03 20:00:00Z,Etihad Stadium,Man City,Liverpool,,2,1
220,22,2019-01-12 12:30:00Z,London Stadium,West Ham,Arsenal,,1,0
211,22,2019-01-12 15:00:00Z,Amex Stadium,Brighton,Liverpool,,0,1
212,22,2019-01-12 15:00:00Z,Turf Moor,Burnley,Fulham,,2,1
213,22,2019-01-12 15:00:00Z,Cardiff City Stadium,Cardiff,Huddersfield,,0,0
215,22,2019-01-12 15:00:00Z,Selhurst Park,Crystal Palace,Watford,,1,2
217,22,2019-01-12 15:00:00Z,King Power Stadium,Leicester,Southampton,,1,2
214,22,2019-01-12 17:30:00Z,Stamford Bridge,Chelsea,Newcastle,,2,1
216,22,2019-01-13 14:15:00Z,Goodison Park,Everton,Bournemouth,,2,0
219,22,2019-01-13 16:03:00Z,Tottenham Hotspur Stadium,Spurs,Man Utd,,0,1
218,22,2019-01-14 20:00:00Z,Etihad Stadium,Man City,Wolves,,3,0
230,23,2019-01-19 12:30:00Z,Molineux Stadium,Wolves,Leicester,,4,3
222,23,2019-01-19 15:00:00Z,Vitality Stadium,Bournemouth,West Ham,,2,0
225,23,2019-01-19 15:00:00Z,Anfield,Liverpool,Crystal Palace,,4,3
226,23,2019-01-19 15:00:00Z,Old Trafford,Man Utd,Brighton,,2,1
227,23,2019-01-19 15:00:00Z,St. James' Park,Newcastle,Cardiff,,3,0
228,23,2019-01-19 15:00:00Z,St. Mary's Stadium,Southampton,Everton,,2,1
229,23,2019-01-19 15:00:00Z,Vicarage Road,Watford,Burnley,,0,0
221,23,2019-01-19 17:30:00Z,Emirates Stadium,Arsenal,Chelsea,,2,0
224,23,2019-01-20 13:30:00Z,John Smith's Stadium,Huddersfield,Man City,,0,3
223,23,2019-01-20 16:00:00Z,Craven Cottage,Fulham,Spurs,,1,2
231,24,2019-01-29 19:45:00Z,Emirates Stadium,Arsenal,Cardiff,,2,1
233,24,2019-01-29 19:45:00Z,Craven Cottage,Fulham,Brighton,,4,2
234,24,2019-01-29 19:45:00Z,John Smith's Stadium,Huddersfield,Everton,,0,1
235,24,2019-01-29 19:45:00Z,Molineux Stadium,Wolves,West Ham,,3,0
236,24,2019-01-29 20:00:00Z,Old Trafford,Man Utd,Burnley,,2,2
237,24,2019-01-29 20:00:00Z,St. James' Park,Newcastle,Man City,,2,1
232,24,2019-01-30 19:45:00Z,Vitality Stadium,Bournemouth,Chelsea,,4,0
238,24,2019-01-30 19:45:00Z,St. Mary's Stadium,Southampton,Crystal Palace,,1,1
239,24,2019-01-30 20:00:00Z,Anfield,Liverpool,Leicester,,1,1
240,24,2019-01-30 20:00:00Z,Tottenham Hotspur Stadium,Spurs,Watford,,2,1
249,25,2019-02-02 12:30:00Z,Tottenham Hotspur Stadium,Spurs,Newcastle,,1,0
241,25,2019-02-02 15:00:00Z,Amex Stadium,Brighton,Watford,,0,0
242,25,2019-02-02 15:00:00Z,Turf Moor,Burnley,Southampton,,1,1
244,25,2019-02-02 15:00:00Z,Stamford Bridge,Chelsea,Huddersfield,,5,0
245,25,2019-02-02 15:00:00Z,Selhurst Park,Crystal Palace,Fulham,,2,0
246,25,2019-02-02 15:00:00Z,Goodison Park,Everton,Wolves,,1,3
243,25,2019-02-02 17:30:00Z,Cardiff City Stadium,Cardiff,Bournemouth,,2,0
247,25,2019-02-03 14:05:00Z,King Power Stadium,Leicester,Man Utd,,0,1
248,25,2019-02-03 16:30:00Z,Etihad Stadium,Man City,Arsenal,,3,1
250,25,2019-02-04 20:00:00Z,London Stadium,West Ham,Liverpool,,1,1
266,26,2019-02-06 19:45:00Z,Goodison Park,Everton,Man City,,0,2
253,26,2019-02-09 12:30:00Z,Craven Cottage,Fulham,Man Utd,,0,3
252,26,2019-02-09 15:00:00Z,Selhurst Park,Crystal Palace,West Ham,,1,1
254,26,2019-02-09 15:00:00Z,John Smith's Stadium,Huddersfield,Arsenal,,1,2
255,26,2019-02-09 15:00:00Z,Anfield,Liverpool,Bournemouth,,3,0
257,26,2019-02-09 15:00:00Z,St. Mary's Stadium,Southampton,Cardiff,,1,2
259,26,2019-02-09 15:00:00Z,Vicarage Road,Watford,Everton,,1,0
251,26,2019-02-09 17:30:00Z,Amex Stadium,Brighton,Burnley,,1,3
258,26,2019-02-10 13:30:00Z,Tottenham Hotspur Stadium,Spurs,Leicester,,3,1
256,26,2019-02-10 16:00:00Z,Etihad Stadium,Man City,Chelsea,,6,0
260,26,2019-02-11 20:00:00Z,Molineux Stadium,Wolves,Newcastle,,1,1
264,27,2019-02-22 19:45:00Z,Cardiff City Stadium,Cardiff,Watford,,1,5
270,27,2019-02-22 19:45:00Z,London Stadium,West Ham,Fulham,,3,1
263,27,2019-02-23 12:30:00Z,Turf Moor,Burnley,Spurs,,2,1
262,27,2019-02-23 15:00:00Z,Vitality Stadium,Bournemouth,Wolves,,1,1
269,27,2019-02-23 15:00:00Z,St. James' Park,Newcastle,Huddersfield,,2,0
267,27,2019-02-23 17:30:00Z,King Power Stadium,Leicester,Crystal Palace,,1,4
261,27,2019-02-24 14:05:00Z,Emirates Stadium,Arsenal,Southampton,,2,0
268,27,2019-02-24 14:05:00Z,Old Trafford,Man Utd,Liverpool,,0,0
272,28,2019-02-26 19:45:00Z,Cardiff City Stadium,Cardiff,Everton,,0,3
273,28,2019-02-26 19:45:00Z,John Smith's Stadium,Huddersfield,Wolves,,1,0
274,28,2019-02-26 19:45:00Z,King Power Stadium,Leicester,Brighton,,2,1
277,28,2019-02-26 20:00:00Z,St. James' Park,Newcastle,Burnley,,2,0
271,28,2019-02-27 19:45:00Z,Emirates Stadium,Arsenal,Bournemouth,,5,1
278,28,2019-02-27 19:45:00Z,St. Mary's Stadium,Southampton,Fulham,,2,0
275,28,2019-02-27 20:00:00Z,Selhurst Park,Crystal Palace,Man Utd,,1,3
276,28,2019-02-27 20:00:00Z,Stamford Bridge,Chelsea,Spurs,,2,0
279,28,2019-02-27 20:00:00Z,Anfield,Liverpool,Watford,,5,0
280,28,2019-02-27 20:00:00Z,Etihad Stadium,Man City,West Ham,,1,0
287,29,2019-03-02 12:30:00Z,Tottenham Hotspur Stadium,Spurs,Arsenal,,1,1
281,29,2019-03-02 15:00:00Z,Vitality Stadium,Bournemouth,Man City,,0,1
282,29,2019-03-02 15:00:00Z,Amex Stadium,Brighton,Huddersfield,,1,0
283,29,2019-03-02 15:00:00Z,Turf Moor,Burnley,Crystal Palace,,1,3
286,29,2019-03-02 15:00:00Z,Old Trafford,Man Utd,Southampton,,3,2
290,29,2019-03-02 15:00:00Z,Molineux Stadium,Wolves,Cardiff,,2,0
289,29,2019-03-02 17:30:00Z,London Stadium,West Ham,Newcastle,,2,0
288,29,2019-03-03 12:00:00Z,Vicarage Road,Watford,Leicester,,2,1
285,29,2019-03-03 14:05:00Z,Craven Cottage,Fulham,Chelsea,,1,2
284,29,2019-03-03 16:15:00Z,Goodison Park,Everton,Liverpool,,0,0
294,30,2019-03-09 12:30:00Z,Selhurst Park,Crystal Palace,Brighton,,1,2
292,30,2019-03-09 15:00:00Z,Cardiff City Stadium,Cardiff,West Ham,,2,0
295,30,2019-03-09 15:00:00Z,John Smith's Stadium,Huddersfield,Bournemouth,,0,2
296,30,2019-03-09 15:00:00Z,King Power Stadium,Leicester,Fulham,,3,1
299,30,2019-03-09 15:00:00Z,St. James' Park,Newcastle,Everton,,3,2
300,30,2019-03-09 15:00:00Z,St. Mary's Stadium,Southampton,Spurs,,2,1
298,30,2019-03-09 17:30:00Z,Etihad Stadium,Man City,Watford,,3,1
297,30,2019-03-10 12:00:00Z,Anfield,Liverpool,Burnley,,4,2
293,30,2019-03-10 14:05:00Z,Stamford Bridge,Chelsea,Wolves,,1,1
291,30,2019-03-10 16:30:00Z,Emirates Stadium,Arsenal,Man Utd,,2,0
301,31,2019-03-16 15:00:00Z,Vitality Stadium,Bournemouth,Newcastle,,2,2
303,31,2019-03-16 15:00:00Z,Turf Moor,Burnley,Leicester,,1,2
309,31,2019-03-16 15:00:00Z,London Stadium,West Ham,Huddersfield,,4,3
305,31,2019-03-17 14:15:00Z,Craven Cottage,Fulham,Liverpool,,1,2
304,31,2019-03-17 16:30:00Z,Goodison Park,Everton,Chelsea,,2,0
316,32,2019-03-30 12:30:00Z,Craven Cottage,Fulham,Man City,,0,2
312,32,2019-03-30 15:00:00Z,Amex Stadium,Brighton,Southampton,,0,1
313,32,2019-03-30 15:00:00Z,Turf Moor,Burnley,Wolves,,2,0
315,32,2019-03-30 15:00:00Z,Selhurst Park,Crystal Palace,Huddersfield,,2,0
317,32,2019-03-30 15:00:00Z,King Power Stadium,Leicester,Bournemouth,,2,0
319,32,2019-03-30 15:00:00Z,Old Trafford,Man Utd,Watford,,2,1
320,32,2019-03-30 17:30:00Z,London Stadium,West Ham,Everton,,0,2
314,32,2019-03-31 13:05:00Z,Cardiff City Stadium,Cardiff,Chelsea,,1,2
318,32,2019-03-31 15:30:00Z,Anfield,Liverpool,Spurs,,2,1
311,32,2019-04-01 19:00:00Z,Emirates Stadium,Arsenal,Newcastle,,2,0
329,32,2019-04-02 18:45:00Z,Vicarage Road,Watford,Fulham,,4,1
330,32,2019-04-02 18:45:00Z,Molineux Stadium,Wolves,Man Utd,,2,1
265,32,2019-04-03 18:45:00Z,Stamford Bridge,Chelsea,Brighton,,3,0
307,32,2019-04-03 18:45:00Z,Tottenham Hotspur Stadium,Spurs,Crystal Palace,,2,0
325,32,2019-04-03 18:45:00Z,Etihad Stadium,Man City,Cardiff,,2,0
