matchNumber,roundNumber,dateUtc,location,homeTeam,awayTeam,group,homeTeamScore,awayTeamScore
6,1,2018-08-10 19:00:00Z,Old Trafford,Man Utd,Leicester,,2,1
7,1,2018-08-11 11:30:00Z,St. James' Park,Newcastle,Spurs,,1,2
2,1,2018-08-11 14:00:00Z,Vitality Stadium,Bournemouth,Cardiff,,2,0
3,1,2018-08-11 14:00:00Z,Craven Cottage,Fulham,Crystal Palace,,0,2
4,1,2018-08-11 14:00:00Z,John Smith's Stadium,Huddersfield,Chelsea,,0,3
9,1,2018-08-11 14:00:00Z,Vicarage Road,Watford,Brighton,,2,0
10,1,2018-08-11 16:30:00Z,Molineux Stadium,Wolves,Everton,,2,2
5,1,2018-08-12 12:30:00Z,Anfield,Liverpool,West Ham,,4,0
8,1,2018-08-12 12:30:00Z,St. Mary's Stadium,Southampton,Burnley,,0,0
1,1,2018-08-12 15:00:00Z,Emirates Stadium,Arsenal,Man City,,0,2
13,2,2018-08-18 11:30:00Z,Cardiff City Stadium,Cardiff,Newcastle,,0,0
16,2,2018-08-18 14:00:00Z,Goodison Park,Everton,Southampton,,2,1
17,2,2018-08-18 14:00:00Z,King Power Stadium,Leicester,Wolves,,2,0
19,2,2018-08-18 14:00:00Z,Wembley Stadium,Spurs,Fulham,,3,1
20,2,2018-08-18 14:00:00Z,London Stadium,West Ham,Bournemouth,,1,2
14,2,2018-08-18 16:30:00Z,Stamford Bridge,Chelsea,Arsenal,,3,2
12,2,2018-08-19 12:30:00Z,Turf Moor,Burnley,Watford,,1,3
18,2,2018-08-19 12:30:00Z,Etihad Stadium,Man City,Huddersfield,,6,1
11,2,2018-08-19 15:00:00Z,Amex Stadium,Brighton,Man Utd,,3,2
15,2,2018-08-20 19:00:00Z,Selhurst Park,Crystal Palace,Liverpool,,0,2
30,3,2018-08-25 11:30:00Z,Molineux Stadium,Wolves,Man City,,1,1
21,3,2018-08-25 14:00:00Z,Emirates Stadium,Arsenal,West Ham,,3,1
22,3,2018-08-25 14:00:00Z,Vitality Stadium,Bournemouth,Everton,,2,2
24,3,2018-08-25 14:00:00Z,John Smith's Stadium,Huddersfield,Cardiff,,0,0
28,3,2018-08-25 14:00:00Z,St. Mary's Stadium,Southampton,Leicester,,1,2
25,3,2018-08-25 16:30:00Z,Anfield,Liverpool,Brighton,,1,0
29,3,2018-08-26 12:30:00Z,Vicarage Road,Watford,Crystal Palace,,2,1
23,3,2018-08-26 15:00:00Z,Craven Cottage,Fulham,Burnley,,4,2
27,3,2018-08-26 15:00:00Z,St. James' Park,Newcastle,Chelsea,,1,2
26,3,2018-08-27 19:00:00Z,Old Trafford,Man Utd,Spurs,,0,3
37,4,2018-09-01 11:30:00Z,King Power Stadium,Leicester,Liverpool,,1,2
31,4,2018-09-01 14:00:00Z,Amex Stadium,Brighton,Fulham,,2,2
34,4,2018-09-01 14:00:00Z,Stamford Bridge,Chelsea,Bournemouth,,2,0
35,4,2018-09-01 14:00:00Z,Selhurst Park,Crystal Palace,Southampton,,0,2
36,4,2018-09-01 14:00:00Z,Goodison Park,Everton,Huddersfield,,1,1
40,4,2018-09-01 14:00:00Z,London Stadium,West Ham,Wolves,,0,1
38,4,2018-09-01 16:30:00Z,Etihad Stadium,Man City,Newcastle,,2,1
33,4,2018-09-02 12:30:00Z,Cardiff City Stadium,Cardiff,Arsenal,,2,3
32,4,2018-09-02 15:00:00Z,Turf Moor,Burnley,Man Utd,,0,2
39,4,2018-09-02 15:00:00Z,Vicarage Road,Watford,Spurs,,2,1
48,5,2018-09-15 11:30:00Z,Wembley Stadium,Spurs,Liverpool,,1,2
41,5,2018-09-15 14:00:00Z,Vitality Stadium,Bournemouth,Leicester,,4,2
42,5,2018-09-15 14:00:00Z,Stamford Bridge,Chelsea,Cardiff,,4,1
44,5,2018-09-15 14:00:00Z,John Smith's Stadium,Huddersfield,Crystal Palace,,0,1
45,5,2018-09-15 14:00:00Z,Etihad Stadium,Man City,Fulham,,3,0
46,5,2018-09-15 14:00:00Z,St. James' Park,Newcastle,Arsenal,,1,2
49,5,2018-09-15 16:30:00Z,Vicarage Road,Watford,Man Utd,,1,2
