matchNumber,roundNumber,dateUtc,location,homeTeam,awayTeam,group,homeTeamScore,awayTeamScore
1,1,2017-08-11 18:45:00Z,Emirates Stadium,Arsenal,Leicester,,4,3
9,1,2017-08-12 11:30:00Z,Vicarage Road,Watford,Liverpool,,3,3
3,1,2017-08-12 14:00:00Z,Stamford Bridge,Chelsea,Burnley,,2,3
4,1,2017-08-12 14:00:00Z,Selhurst Park,Crystal Palace,Huddersfield,,0,3
5,1,2017-08-12 14:00:00Z,Goodison Park,Everton,Stoke,,1,0
8,1,2017-08-12 14:00:00Z,St. Mary's Stadium,Southampton,Swansea,,0,0
10,1,2017-08-12 14:00:00Z,The Hawthorns,West Brom,Bournemouth,,1,0
2,1,2017-08-12 16:30:00Z,Amex Stadium,Brighton,Man City,,0,2
7,1,2017-08-13 12:30:00Z,St. James' Park,Newcastle,Spurs,,0,2
6,1,2017-08-13 15:00:00Z,Old Trafford,Man Utd,West Ham,,4,0
18,2,2017-08-19 11:30:00Z,Liberty Stadium,Swansea,Man Utd,,0,4
11,2,2017-08-19 14:00:00Z,Vitality Stadium,Bournemouth,Watford,,0,2
12,2,2017-08-19 14:00:00Z,Turf Moor,Burnley,West Brom,,0,1
14,2,2017-08-19 14:00:00Z,King Power Stadium,Leicester,Brighton,,2,0
15,2,2017-08-19 14:00:00Z,Anfield,Liverpool,Crystal Palace,,1,0
20,2,2017-08-19 14:00:00Z,St. Mary's Stadium,Southampton,West Ham,,3,2
17,2,2017-08-19 16:30:00Z,bet365 Stadium,Stoke,Arsenal,,1,0
13,2,2017-08-20 12:30:00Z,John Smith's Stadium,Huddersfield,Newcastle,,1,0
19,2,2017-08-20 15:00:00Z,Wembley Stadium,Spurs,Chelsea,,1,2
16,2,2017-08-21 19:00:00Z,Etihad Stadium,Man City,Everton,,1,1
21,3,2017-08-26 11:30:00Z,Vitality Stadium,Bournemouth,Man City,,1,2
23,3,2017-08-26 14:00:00Z,Selhurst Park,Crystal Palace,Swansea,,0,2
24,3,2017-08-26 14:00:00Z,John Smith's Stadium,Huddersfield,Southampton,,0,0
27,3,2017-08-26 14:00:00Z,St. James' Park,Newcastle,West Ham,,3,0
29,3,2017-08-26 14:00:00Z,Vicarage Road,Watford,Brighton,,0,0
26,3,2017-08-26 16:30:00Z,Old Trafford,Man Utd,Leicester,,2,0
22,3,2017-08-27 12:30:00Z,Stamford Bridge,Chelsea,Everton,,2,0
30,3,2017-08-27 12:30:00Z,The Hawthorns,West Brom,Stoke,,1,1
25,3,2017-08-27 15:00:00Z,Anfield,Liverpool,Arsenal,,4,0
28,3,2017-08-27 15:00:00Z,Wembley Stadium,Spurs,Burnley,,1,1
36,4,2017-09-09 11:30:00Z,Etihad Stadium,Man City,Liverpool,,5,0
31,4,2017-09-09 14:00:00Z,Emirates Stadium,Arsenal,Bournemouth,,3,0
32,4,2017-09-09 14:00:00Z,Amex Stadium,Brighton,West Brom,,3,1
34,4,2017-09-09 14:00:00Z,Goodison Park,Everton,Spurs,,0,3
35,4,2017-09-09 14:00:00Z,King Power Stadium,Leicester,Chelsea,,1,2
37,4,2017-09-09 14:00:00Z,St. Mary's Stadium,Southampton,Watford,,0,2
38,4,2017-09-09 16:30:00Z,bet365 Stadium,Stoke,Man Utd,,2,2
33,4,2017-09-10 12:30:00Z,Turf Moor,Burnley,Crystal Palace,,1,0
39,4,2017-09-10 15:00:00Z,Liberty Stadium,Swansea,Newcastle,,0,1
40,4,2017-09-11 19:00:00Z,London Stadium,West Ham,Huddersfield,,2,0
41,5,2017-09-15 19:00:00Z,Vitality Stadium,Bournemouth,Brighton,,2,1
43,5,2017-09-16 11:30:00Z,Selhurst Park,Crystal Palace,Southampton,,0,1
44,5,2017-09-16 14:00:00Z,John Smith's Stadium,Huddersfield,Leicester,,1,1
45,5,2017-09-16 14:00:00Z,Anfield,Liverpool,Burnley,,1,1
47,5,2017-09-16 14:00:00Z,St. James' Park,Newcastle,Stoke,,2,1
49,5,2017-09-16 14:00:00Z,Vicarage Road,Watford,Man City,,0,6
50,5,2017-09-16 14:00:00Z,The Hawthorns,West Brom,West Ham,,0,0
48,5,2017-09-16 16:30:00Z,Wembley Stadium,Spurs,Swansea,,0,0
42,5,2017-09-17 12:30:00Z,Stamford Bridge,Chelsea,Arsenal,,0,0
46,5,2017-09-17 15:00:00Z,Old Trafford,Man Utd,Everton,,4,0
60,6,2017-09-23 11:30:00Z,London Stadium,West Ham,Spurs,,2,3
53,6,2017-09-23 14:00:00Z,Turf Moor,Burnley,Huddersfield,,0,0
54,6,2017-09-23 14:00:00Z,Goodison Park,Everton,Bournemouth,,2,1
56,6,2017-09-23 14:00:00Z,Etihad Stadium,Man City,Crystal Palace,,5,0
57,6,2017-09-23 14:00:00Z,St. Mary's Stadium,Southampton,Man Utd,,0,1
58,6,2017-09-23 14:00:00Z,bet365 Stadium,Stoke,Chelsea,,0,4
59,6,2017-09-23 14:00:00Z,Liberty Stadium,Swansea,Watford,,1,2
