matchNumber,roundNumber,dateUtc,location,homeTeam,awayTeam,group,homeTeamScore,awayTeamScore
55,6,2017-09-23 16:30:00Z,King Power Stadium,Leicester,Liverpool,,2,3
52,6,2017-09-24 15:00:00Z,Amex Stadium,Brighton,Newcastle,,1,0
51,6,2017-09-25 19:00:00Z,Emirates Stadium,Arsenal,West Brom,,2,0
65,7,2017-09-30 11:30:00Z,John Smith's Stadium,Huddersfield,Spurs,,0,4
62,7,2017-09-30 14:00:00Z,Vitality Stadium,Bournemouth,Leicester,,0,0
66,7,2017-09-30 14:00:00Z,Old Trafford,Man Utd,Crystal Palace,,4,0
68,7,2017-09-30 14:00:00Z,bet365 Stadium,Stoke,Southampton,,2,1
69,7,2017-09-30 14:00:00Z,The Hawthorns,West Brom,Watford,,2,2
70,7,2017-09-30 14:00:00Z,London Stadium,West Ham,Swansea,,1,0
63,7,2017-09-30 16:30:00Z,Stamford Bridge,Chelsea,Man City,,0,1
61,7,2017-10-01 11:00:00Z,Emirates Stadium,Arsenal,Brighton,,2,0
64,7,2017-10-01 13:15:00Z,Goodison Park,Everton,Burnley,,0,1
67,7,2017-10-01 15:30:00Z,St. James' Park,Newcastle,Liverpool,,1,1
75,8,2017-10-14 11:30:00Z,Anfield,Liverpool,Man Utd,,0,0
72,8,2017-10-14 14:00:00Z,Turf Moor,Burnley,West Ham,,1,1
73,8,2017-10-14 14:00:00Z,Selhurst Park,Crystal Palace,Chelsea,,2,1
76,8,2017-10-14 14:00:00Z,Etihad Stadium,Man City,Stoke,,7,2
78,8,2017-10-14 14:00:00Z,Liberty Stadium,Swansea,Huddersfield,,2,0
79,8,2017-10-14 14:00:00Z,Wembley Stadium,Spurs,Bournemouth,,1,0
80,8,2017-10-14 16:30:00Z,Vicarage Road,Watford,Arsenal,,2,1
71,8,2017-10-15 12:30:00Z,Amex Stadium,Brighton,Everton,,1,1
77,8,2017-10-15 15:00:00Z,St. Mary's Stadium,Southampton,Newcastle,,2,2
74,8,2017-10-16 19:00:00Z,King Power Stadium,Leicester,West Brom,,1,1
90,9,2017-10-20 19:00:00Z,London Stadium,West Ham,Brighton,,0,3
81,9,2017-10-21 11:30:00Z,Stamford Bridge,Chelsea,Watford,,4,2
83,9,2017-10-21 14:00:00Z,John Smith's Stadium,Huddersfield,Man Utd,,2,1
84,9,2017-10-21 14:00:00Z,Etihad Stadium,Man City,Burnley,,3,0
85,9,2017-10-21 14:00:00Z,St. James' Park,Newcastle,Crystal Palace,,1,0
87,9,2017-10-21 14:00:00Z,bet365 Stadium,Stoke,Bournemouth,,1,2
88,9,2017-10-21 14:00:00Z,Liberty Stadium,Swansea,Leicester,,1,2
86,9,2017-10-21 16:30:00Z,St. Mary's Stadium,Southampton,West Brom,,1,0
82,9,2017-10-22 12:30:00Z,Goodison Park,Everton,Arsenal,,2,5
89,9,2017-10-22 15:00:00Z,Wembley Stadium,Spurs,Liverpool,,4,1
98,10,2017-10-28 11:30:00Z,Old Trafford,Man Utd,Spurs,,1,0
91,10,2017-10-28 14:00:00Z,Emirates Stadium,Arsenal,Swansea,,2,1
95,10,2017-10-28 14:00:00Z,Selhurst Park,Crystal Palace,West Ham,,2,2
97,10,2017-10-28 14:00:00Z,Anfield,Liverpool,Huddersfield,,3,0
99,10,2017-10-28 14:00:00Z,Vicarage Road,Watford,Stoke,,0,1
100,10,2017-10-28 14:00:00Z,The Hawthorns,West Brom,Man City,,2,3
92,10,2017-10-28 16:30:00Z,Vitality Stadium,Bournemouth,Chelsea,,0,1
93,10,2017-10-29 13:30:00Z,Amex Stadium,Brighton,Southampton,,1,1
96,10,2017-10-29 16:00:00Z,King Power Stadium,Leicester,Everton,,2,0
94,10,2017-10-30 20:00:00Z,Turf Moor,Burnley,Newcastle,,1,0
107,11,2017-11-04 12:30:00Z,bet365 Stadium,Stoke,Leicester,,2,2
103,11,2017-11-04 15:00:00Z,John Smith's Stadium,Huddersfield,West Brom,,1,0
105,11,2017-11-04 15:00:00Z,St. James' Park,Newcastle,Bournemouth,,0,1
106,11,2017-11-04 15:00:00Z,St. Mary's Stadium,Southampton,Burnley,,0,1
108,11,2017-11-04 15:00:00Z,Liberty Stadium,Swansea,Brighton,,0,1
110,11,2017-11-04 17:30:00Z,London Stadium,West Ham,Liverpool,,1,4
109,11,2017-11-05 12:00:00Z,Wembley Stadium,Spurs,Crystal Palace,,1,0
104,11,2017-11-05 14:15:00Z,Etihad Stadium,Man City,Arsenal,,3,1
101,11,2017-11-05 16:30:00Z,Stamford Bridge,Chelsea,Man Utd,,1,0
102,11,2017-11-05 16:30:00Z,Goodison Park,Everton,Watford,,3,2
111,12,2017-11-18 12:30:00Z,Emirates Stadium,Arsenal,Spurs,,2,0
112,12,2017-11-18 15:00:00Z,Vitality Stadium,Bournemouth,Huddersfield,,4,0
114,12,2017-11-18 15:00:00Z,Turf Moor,Burnley,Swansea,,2,0
115,12,2017-11-18 15:00:00Z,Selhurst Park,Crystal Palace,Everton,,2,2
116,12,2017-11-18 15:00:00Z,King Power Stadium,Leicester,Man City,,0,2
117,12,2017-11-18 15:00:00Z,Anfield,Liverpool,Southampton,,3,0
120,12,2017-11-18 15:00:00Z,The Hawthorns,West Brom,Chelsea,,0,4
118,12,2017-11-18 17:30:00Z,Old Trafford,Man Utd,Newcastle,,4,1
119,12,2017-11-19 16:00:00Z,Vicarage Road,Watford,West Ham,,2,0
113,12,2017-11-20 20:00:00Z,Amex Stadium,Brighton,Stoke,,2,2
130,13,2017-11-24 20:00:00Z,London Stadium,West Ham,Leicester,,1,1
122,13,2017-11-25 15:00:00Z,Selhurst Park,Crystal Palace,Stoke,,2,1
125,13,2017-11-25 15:00:00Z,Old Trafford,Man Utd,Brighton,,1,0
126,13,2017-11-25 15:00:00Z,St. James' Park,Newcastle,Watford,,0,3
128,13,2017-11-25 15:00:00Z,Liberty Stadium,Swansea,Bournemouth,,0,0
129,13,2017-11-25 15:00:00Z,Wembley Stadium,Spurs,West Brom,,1,1
124,13,2017-11-25 17:30:00Z,Anfield,Liverpool,Chelsea,,1,1
127,13,2017-11-26 13:30:00Z,St. Mary's Stadium,Southampton,Everton,,4,1
121,13,2017-11-26 14:00:00Z,Turf Moor,Burnley,Arsenal,,0,1
123,13,2017-11-26 16:00:00Z,John Smith's Stadium,Huddersfield,Man City,,1,2
133,14,2017-11-28 19:45:00Z,Amex Stadium,Brighton,Crystal Palace,,0,0
134,14,2017-11-28 19:45:00Z,King Power Stadium,Leicester,Spurs,,2,1
135,14,2017-11-28 20:00:00Z,Vicarage Road,Watford,Man Utd,,2,4
136,14,2017-11-28 20:00:00Z,The Hawthorns,West Brom,Newcastle,,2,2
131,14,2017-11-29 19:45:00Z,Emirates Stadium,Arsenal,Huddersfield,,5,0
132,14,2017-11-29 19:45:00Z,Vitality Stadium,Bournemouth,Burnley,,1,2
137,14,2017-11-29 19:45:00Z,Stamford Bridge,Chelsea,Swansea,,1,0
138,14,2017-11-29 20:00:00Z,Goodison Park,Everton,West Ham,,4,0
139,14,2017-11-29 20:00:00Z,Etihad Stadium,Man City,Southampton,,2,1
140,14,2017-11-29 20:00:00Z,bet365 Stadium,Stoke,Liverpool,,0,3
144,15,2017-12-02 12:30:00Z,Stamford Bridge,Chelsea,Newcastle,,3,1
143,15,2017-12-02 15:00:00Z,Amex Stadium,Brighton,Liverpool,,1,5
145,15,2017-12-02 15:00:00Z,Goodison Park,Everton,Huddersfield,,2,0
146,15,2017-12-02 15:00:00Z,King Power Stadium,Leicester,Burnley,,1,0
148,15,2017-12-02 15:00:00Z,bet365 Stadium,Stoke,Swansea,,2,1
149,15,2017-12-02 15:00:00Z,Vicarage Road,Watford,Spurs,,1,1
150,15,2017-12-02 15:00:00Z,The Hawthorns,West Brom,Crystal Palace,,0,0
141,15,2017-12-02 17:30:00Z,Emirates Stadium,Arsenal,Man Utd,,1,3
142,15,2017-12-03 13:30:00Z,Vitality Stadium,Bournemouth,Southampton,,1,1
147,15,2017-12-03 16:00:00Z,Etihad Stadium,Man City,West Ham,,2,1
160,16,2017-12-09 12:30:00Z,London Stadium,West Ham,Chelsea,,1,0
151,16,2017-12-09 15:00:00Z,Turf Moor,Burnley,Watford,,1,0
152,16,2017-12-09 15:00:00Z,Selhurst Park,Crystal Palace,Bournemouth,,2,2
153,16,2017-12-09 15:00:00Z,John Smith's Stadium,Huddersfield,Brighton,,2,0
158,16,2017-12-09 15:00:00Z,Liberty Stadium,Swansea,West Brom,,1,0
159,16,2017-12-09 15:00:00Z,Wembley Stadium,Spurs,Stoke,,5,1
156,16,2017-12-09 17:30:00Z,St. James' Park,Newcastle,Leicester,,2,3
157,16,2017-12-10 12:00:00Z,St. Mary's Stadium,Southampton,Arsenal,,1,1
154,16,2017-12-10 14:15:00Z,Anfield,Liverpool,Everton,,1,1
155,16,2017-12-10 16:30:00Z,Old Trafford,Man Utd,Man City,,1,2
161,17,2017-12-12 19:45:00Z,Turf Moor,Burnley,Stoke,,1,0
162,17,2017-12-12 20:00:00Z,John Smith's Stadium,Huddersfield,Chelsea,,1,3
165,17,2017-12-12 20:00:00Z,Selhurst Park,Crystal Palace,Watford,,2,1
163,17,2017-12-13 19:45:00Z,Liberty Stadium,Swansea,Man City,,0,4
167,17,2017-12-13 19:45:00Z,St. James' Park,Newcastle,Everton,,0,1
168,17,2017-12-13 19:45:00Z,St. Mary's Stadium,Southampton,Leicester,,1,4
164,17,2017-12-13 20:00:00Z,London Stadium,West Ham,Arsenal,,0,0
166,17,2017-12-13 20:00:00Z,Old Trafford,Man Utd,Bournemouth,,1,0
169,17,2017-12-13 20:00:00Z,Anfield,Liverpool,West Brom,,0,0
170,17,2017-12-13 20:00:00Z,Wembley Stadium,Spurs,Brighton,,2,0
176,18,2017-12-16 12:30:00Z,King Power Stadium,Leicester,Crystal Palace,,0,3
171,18,2017-12-16 15:00:00Z,Emirates Stadium,Arsenal,Newcastle,,1,0
173,18,2017-12-16 15:00:00Z,Amex Stadium,Brighton,Burnley,,0,0
174,18,2017-12-16 15:00:00Z,Stamford Bridge,Chelsea,Southampton,,1,0
179,18,2017-12-16 15:00:00Z,Vicarage Road,Watford,Huddersfield,,1,4
178,18,2017-12-16 16:00:00Z,bet365 Stadium,Stoke,West Ham,,0,3
177,18,2017-12-16 17:30:00Z,Etihad Stadium,Man City,Spurs,,4,1
180,18,2017-12-17 14:15:00Z,The Hawthorns,West Brom,Man Utd,,1,2
172,18,2017-12-17 16:30:00Z,Vitality Stadium,Bournemouth,Liverpool,,0,4
175,18,2017-12-18 20:00:00Z,Goodison Park,Everton,Swansea,,3,1
181,19,2017-12-22 19:45:00Z,Emirates Stadium,Arsenal,Liverpool,,3,3
184,19,2017-12-23 12:30:00Z,Goodison Park,Everton,Chelsea,,0,0
182,19,2017-12-23 15:00:00Z,Amex Stadium,Brighton,Watford,,1,0
186,19,2017-12-23 15:00:00Z,Etihad Stadium,Man City,Bournemouth,,4,0
187,19,2017-12-23 15:00:00Z,St. Mary's Stadium,Southampton,Huddersfield,,1,1
188,19,2017-12-23 15:00:00Z,bet365 Stadium,Stoke,West Brom,,3,1
189,19,2017-12-23 15:00:00Z,Liberty Stadium,Swansea,Crystal Palace,,1,1
190,19,2017-12-23 15:00:00Z,London Stadium,West Ham,Newcastle,,2,3
183,19,2017-12-23 17:30:00Z,Turf Moor,Burnley,Spurs,,0,3
185,19,2017-12-23 19:45:00Z,King Power Stadium,Leicester,Man Utd,,2,2
198,20,2017-12-26 12:30:00Z,Wembley Stadium,Spurs,Southampton,,5,2
191,20,2017-12-26 15:00:00Z,Vitality Stadium,Bournemouth,West Ham,,3,3
192,20,2017-12-26 15:00:00Z,Stamford Bridge,Chelsea,Brighton,,2,0
194,20,2017-12-26 15:00:00Z,John Smith's Stadium,Huddersfield,Stoke,,1,1
196,20,2017-12-26 15:00:00Z,Old Trafford,Man Utd,Burnley,,2,2
199,20,2017-12-26 15:00:00Z,Vicarage Road,Watford,Leicester,,2,1
200,20,2017-12-26 15:00:00Z,The Hawthorns,West Brom,Everton,,0,0
195,20,2017-12-26 17:30:00Z,Anfield,Liverpool,Swansea,,5,0
197,20,2017-12-27 19:45:00Z,St. James' Park,Newcastle,Man City,,0,1
193,20,2017-12-28 20:00:00Z,Selhurst Park,Crystal Palace,Arsenal,,2,3
201,21,2017-12-30 15:00:00Z,Vitality Stadium,Bournemouth,Everton,,2,1
202,21,2017-12-30 15:00:00Z,Stamford Bridge,Chelsea,Stoke,,5,0
204,21,2017-12-30 15:00:00Z,John Smith's Stadium,Huddersfield,Burnley,,0,0
205,21,2017-12-30 15:00:00Z,Anfield,Liverpool,Leicester,,2,1
207,21,2017-12-30 15:00:00Z,St. James' Park,Newcastle,Brighton,,0,0
209,21,2017-12-30 15:00:00Z,Vicarage Road,Watford,Swansea,,1,2
206,21,2017-12-30 17:30:00Z,Old Trafford,Man Utd,Southampton,,0,0
203,21,2017-12-31 12:00:00Z,Selhurst Park,Crystal Palace,Man City,,0,0
210,21,2017-12-31 16:30:00Z,The Hawthorns,West Brom,Arsenal,,1,1
212,22,2018-01-01 12:30:00Z,Amex Stadium,Brighton,Bournemouth,,2,2
213,22,2018-01-01 15:00:00Z,Turf Moor,Burnley,Liverpool,,1,2
215,22,2018-01-01 15:00:00Z,King Power Stadium,Leicester,Huddersfield,,3,0
218,22,2018-01-01 15:00:00Z,bet365 Stadium,Stoke,Newcastle,,0,1
214,22,2018-01-01 17:30:00Z,Goodison Park,Everton,Man Utd,,0,2
217,22,2018-01-02 19:45:00Z,St. Mary's Stadium,Southampton,Crystal Palace,,1,2
219,22,2018-01-02 19:45:00Z,Liberty Stadium,Swansea,Spurs,,0,2
220,22,2018-01-02 19:45:00Z,London Stadium,West Ham,West Brom,,2,1
216,22,2018-01-02 20:00:00Z,Etihad Stadium,Man City,Watford,,3,1
211,22,2018-01-03 19:45:00Z,Emirates Stadium,Arsenal,Chelsea,,2,2
208,22,2018-01-04 20:00:00Z,Wembley Stadium,Spurs,West Ham,,1,1
222,23,2018-01-13 15:00:00Z,Stamford Bridge,Chelsea,Leicester,,0,0
223,23,2018-01-13 15:00:00Z,Selhurst Park,Crystal Palace,Burnley,,1,0
224,23,2018-01-13 15:00:00Z,John Smith's Stadium,Huddersfield,West Ham,,1,4
227,23,2018-01-13 15:00:00Z,St. James' Park,Newcastle,Swansea,,1,1
229,23,2018-01-13 15:00:00Z,Vicarage Road,Watford,Southampton,,2,2
230,23,2018-01-13 15:00:00Z,The Hawthorns,West Brom,Brighton,,2,0
228,23,2018-01-13 17:30:00Z,Wembley Stadium,Spurs,Everton,,4,0
221,23,2018-01-14 13:30:00Z,Vitality Stadium,Bournemouth,Arsenal,,2,1
225,23,2018-01-14 16:00:00Z,Anfield,Liverpool,Man City,,4,3
226,23,2018-01-15 20:00:00Z,Old Trafford,Man Utd,Stoke,,3,0
232,24,2018-01-20 12:30:00Z,Amex Stadium,Brighton,Chelsea,,0,4
231,24,2018-01-20 15:00:00Z,Emirates Stadium,Arsenal,Crystal Palace,,4,1
233,24,2018-01-20 15:00:00Z,Turf Moor,Burnley,Man Utd,,0,1
234,24,2018-01-20 15:00:00Z,Goodison Park,Everton,West Brom,,1,1
235,24,2018-01-20 15:00:00Z,King Power Stadium,Leicester,Watford,,2,0
238,24,2018-01-20 15:00:00Z,bet365 Stadium,Stoke,Huddersfield,,2,0
240,24,2018-01-20 15:00:00Z,London Stadium,West Ham,Bournemouth,,1,1
236,24,2018-01-20 17:30:00Z,Etihad Stadium,Man City,Newcastle,,3,1
237,24,2018-01-21 16:00:00Z,St. Mary's Stadium,Southampton,Spurs,,1,1
239,24,2018-01-22 20:00:00Z,Liberty Stadium,Swansea,Liverpool,,1,0
242,25,2018-01-30 19:45:00Z,Liberty Stadium,Swansea,Arsenal,,3,1
243,25,2018-01-30 19:45:00Z,London Stadium,West Ham,Crystal Palace,,1,1
241,25,2018-01-30 20:00:00Z,John Smith's Stadium,Huddersfield,Liverpool,,0,3
244,25,2018-01-31 19:45:00Z,Stamford Bridge,Chelsea,Bournemouth,,0,3
245,25,2018-01-31 19:45:00Z,Goodison Park,Everton,Leicester,,2,1
246,25,2018-01-31 19:45:00Z,St. James' Park,Newcastle,Burnley,,1,1
247,25,2018-01-31 19:45:00Z,St. Mary's Stadium,Southampton,Brighton,,1,1
248,25,2018-01-31 20:00:00Z,Etihad Stadium,Man City,West Brom,,3,0
249,25,2018-01-31 20:00:00Z,bet365 Stadium,Stoke,Watford,,0,0
250,25,2018-01-31 20:00:00Z,Wembley Stadium,Spurs,Man Utd,,2,0
254,26,2018-02-03 12:30:00Z,Turf Moor,Burnley,Man City,,1,1
252,26,2018-02-03 15:00:00Z,Vitality Stadium,Bournemouth,Stoke,,2,1
253,26,2018-02-03 15:00:00Z,Amex Stadium,Brighton,West Ham,,3,1
256,26,2018-02-03 15:00:00Z,King Power Stadium,Leicester,Swansea,,1,1
258,26,2018-02-03 15:00:00Z,Old Trafford,Man Utd,Huddersfield,,2,0
260,26,2018-02-03 15:00:00Z,The Hawthorns,West Brom,Southampton,,2,3
251,26,2018-02-03 17:30:00Z,Emirates Stadium,Arsenal,Everton,,5,1
255,26,2018-02-04 14:15:00Z,Selhurst Park,Crystal Palace,Newcastle,,1,1
257,26,2018-02-04 16:30:00Z,Anfield,Liverpool,Spurs,,2,2
259,26,2018-02-05 20:00:00Z,Vicarage Road,Watford,Chelsea,,4,1
269,27,2018-02-10 12:30:00Z,Wembley Stadium,Spurs,Arsenal,,1,0
262,27,2018-02-10 15:00:00Z,Goodison Park,Everton,Crystal Palace,,3,1
267,27,2018-02-10 15:00:00Z,bet365 Stadium,Stoke,Brighton,,1,1
268,27,2018-02-10 15:00:00Z,Liberty Stadium,Swansea,Burnley,,1,0
270,27,2018-02-10 15:00:00Z,London Stadium,West Ham,Watford,,2,0
264,27,2018-02-10 17:30:00Z,Etihad Stadium,Man City,Leicester,,5,1
263,27,2018-02-11 12:00:00Z,John Smith's Stadium,Huddersfield,Bournemouth,,4,1
265,27,2018-02-11 14:15:00Z,St. James' Park,Newcastle,Man Utd,,1,0
266,27,2018-02-11 16:30:00Z,St. Mary's Stadium,Southampton,Liverpool,,0,2
261,27,2018-02-12 20:00:00Z,Stamford Bridge,Chelsea,West Brom,,3,0
276,28,2018-02-24 12:30:00Z,King Power Stadium,Leicester,Stoke,,1,1
272,28,2018-02-24 15:00:00Z,Vitality Stadium,Bournemouth,Newcastle,,2,2
273,28,2018-02-24 15:00:00Z,Amex Stadium,Brighton,Swansea,,4,1
274,28,2018-02-24 15:00:00Z,Turf Moor,Burnley,Southampton,,1,1
277,28,2018-02-24 15:00:00Z,Anfield,Liverpool,West Ham,,4,1
280,28,2018-02-24 15:00:00Z,The Hawthorns,West Brom,Huddersfield,,1,2
279,28,2018-02-24 17:30:00Z,Vicarage Road,Watford,Everton,,1,0
275,28,2018-02-25 12:00:00Z,Selhurst Park,Crystal Palace,Spurs,,0,1
278,28,2018-02-25 14:05:00Z,Old Trafford,Man Utd,Chelsea,,2,1
271,29,2018-03-01 19:45:00Z,Emirates Stadium,Arsenal,Man City,,0,3
282,29,2018-03-03 12:30:00Z,Turf Moor,Burnley,Everton,,2,1
284,29,2018-03-03 15:00:00Z,King Power Stadium,Leicester,Bournemouth,,1,1
287,29,2018-03-03 15:00:00Z,St. Mary's Stadium,Southampton,Stoke,,0,0
288,29,2018-03-03 15:00:00Z,Liberty Stadium,Swansea,West Ham,,4,1
289,29,2018-03-03 15:00:00Z,Wembley Stadium,Spurs,Huddersfield,,2,0
290,29,2018-03-03 15:00:00Z,Vicarage Road,Watford,West Brom,,1,0
285,29,2018-03-03 17:30:00Z,Anfield,Liverpool,Newcastle,,2,0
281,29,2018-03-04 13:30:00Z,Amex Stadium,Brighton,Arsenal,,2,1
286,29,2018-03-04 16:00:00Z,Etihad Stadium,Man City,Chelsea,,1,0
283,29,2018-03-05 20:00:00Z,Selhurst Park,Crystal Palace,Man Utd,,2,3
296,30,2018-03-10 12:30:00Z,Old Trafford,Man Utd,Liverpool,,2,1
294,30,2018-03-10 15:00:00Z,Goodison Park,Everton,Brighton,,2,0
295,30,2018-03-10 15:00:00Z,John Smith's Stadium,Huddersfield,Swansea,,0,0
297,30,2018-03-10 15:00:00Z,St. James' Park,Newcastle,Southampton,,3,0
299,30,2018-03-10 15:00:00Z,The Hawthorns,West Brom,Leicester,,1,4
300,30,2018-03-10 15:00:00Z,London Stadium,West Ham,Burnley,,0,3
293,30,2018-03-10 17:30:00Z,Stamford Bridge,Chelsea,Crystal Palace,,2,1
291,30,2018-03-11 13:30:00Z,Emirates Stadium,Arsenal,Watford,,3,0
292,30,2018-03-11 16:00:00Z,Vitality Stadium,Bournemouth,Spurs,,1,4
298,30,2018-03-12 20:00:00Z,bet365 Stadium,Stoke,Man City,,0,2
301,31,2018-03-17 15:00:00Z,Vitality Stadium,Bournemouth,West Brom,,2,1
303,31,2018-03-17 15:00:00Z,John Smith's Stadium,Huddersfield,Crystal Palace,,0,2
307,31,2018-03-17 15:00:00Z,bet365 Stadium,Stoke,Everton,,1,2
305,31,2018-03-17 17:30:00Z,Anfield,Liverpool,Watford,,5,0
314,32,2018-03-31 11:30:00Z,Selhurst Park,Crystal Palace,Liverpool,,1,2
312,32,2018-03-31 14:00:00Z,Amex Stadium,Brighton,Leicester,,0,2
316,32,2018-03-31 14:00:00Z,Old Trafford,Man Utd,Swansea,,2,0
317,32,2018-03-31 14:00:00Z,St. James' Park,Newcastle,Huddersfield,,1,0
318,32,2018-03-31 14:00:00Z,London Stadium,West Ham,Southampton,,3,0
319,32,2018-03-31 14:00:00Z,Vicarage Road,Watford,Bournemouth,,2,2
320,32,2018-03-31 14:00:00Z,The Hawthorns,West Brom,Burnley,,1,2
315,32,2018-03-31 16:30:00Z,Goodison Park,Everton,Man City,,1,3
311,32,2018-04-01 12:30:00Z,Emirates Stadium,Arsenal,Stoke,,3,0
313,32,2018-04-01 15:00:00Z,Stamford Bridge,Chelsea,Spurs,,1,3
325,33,2018-04-07 11:30:00Z,Goodison Park,Everton,Liverpool,,0,0
322,33,2018-04-07 14:00:00Z,Vitality Stadium,Bournemouth,Crystal Palace,,2,2
323,33,2018-04-07 14:00:00Z,Amex Stadium,Brighton,Huddersfield,,1,1
326,33,2018-04-07 14:00:00Z,King Power Stadium,Leicester,Newcastle,,1,2
328,33,2018-04-07 14:00:00Z,bet365 Stadium,Stoke,Spurs,,1,2
329,33,2018-04-07 14:00:00Z,Vicarage Road,Watford,Burnley,,1,2
330,33,2018-04-07 14:00:00Z,The Hawthorns,West Brom,Swansea,,1,1
327,33,2018-04-07 16:30:00Z,Etihad Stadium,Man City,Man Utd,,2,3
